Running MMD experiment for train domain: AwsCont and test domain: AwsCont
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Epoch 1: Train Loss=0.2311, Accuracy=92.89%
         Val Loss=0.1493, Accuracy=96.30%
         MMD Loss=0.0935, Regular Loss=0.2310
Epoch 2: Train Loss=0.0576, Accuracy=98.27%
         Val Loss=0.0867, Accuracy=97.15%
         MMD Loss=0.0954, Regular Loss=0.0575
Epoch 3: Train Loss=0.0343, Accuracy=98.92%
         Val Loss=0.0700, Accuracy=97.91%
         MMD Loss=0.0958, Regular Loss=0.0343
Epoch 4: Train Loss=0.0222, Accuracy=99.31%
         Val Loss=0.0652, Accuracy=98.14%
         MMD Loss=0.0963, Regular Loss=0.0222
Epoch 5: Train Loss=0.0203, Accuracy=99.38%
         Val Loss=0.0840, Accuracy=98.03%
         MMD Loss=0.0964, Regular Loss=0.0203
Epoch 6: Train Loss=0.0168, Accuracy=99.48%
         Val Loss=0.0895, Accuracy=97.95%
         MMD Loss=0.0963, Regular Loss=0.0168
Epoch 7: Train Loss=0.0138, Accuracy=99.58%
         Val Loss=0.1236, Accuracy=97.73%
         MMD Loss=0.0960, Regular Loss=0.0138
Epoch 8: Train Loss=0.0150, Accuracy=99.58%
         Val Loss=0.0714, Accuracy=98.27%
         MMD Loss=0.0963, Regular Loss=0.0149
Epoch 9: Train Loss=0.0098, Accuracy=99.69%
         Val Loss=0.0873, Accuracy=98.33%
         MMD Loss=0.0954, Regular Loss=0.0098
Epoch 10: Train Loss=0.0067, Accuracy=99.81%
         Val Loss=0.1265, Accuracy=97.91%
         MMD Loss=0.0962, Regular Loss=0.0067
Epoch 11: Train Loss=0.0120, Accuracy=99.72%
         Val Loss=0.1004, Accuracy=98.11%
         MMD Loss=0.0957, Regular Loss=0.0119
Epoch 12: Train Loss=0.0073, Accuracy=99.77%
         Val Loss=0.0730, Accuracy=98.58%
         MMD Loss=0.0954, Regular Loss=0.0073
Epoch 13: Train Loss=0.0080, Accuracy=99.78%
         Val Loss=0.1643, Accuracy=97.50%
         MMD Loss=0.0957, Regular Loss=0.0080
Epoch 14: Train Loss=0.0075, Accuracy=99.78%
         Val Loss=0.1156, Accuracy=98.12%
         MMD Loss=0.0960, Regular Loss=0.0075
Epoch 15: Train Loss=0.0060, Accuracy=99.81%
         Val Loss=0.0917, Accuracy=98.38%
         MMD Loss=0.0972, Regular Loss=0.0060
Epoch 16: Train Loss=0.0022, Accuracy=99.94%
         Val Loss=0.1222, Accuracy=98.33%
         MMD Loss=0.0969, Regular Loss=0.0022
Epoch 17: Train Loss=0.0067, Accuracy=99.79%
         Val Loss=0.1193, Accuracy=98.15%
         MMD Loss=0.0961, Regular Loss=0.0067
Epoch 18: Train Loss=0.0087, Accuracy=99.78%
         Val Loss=0.1252, Accuracy=98.04%
         MMD Loss=0.0957, Regular Loss=0.0087
Epoch 19: Train Loss=0.0053, Accuracy=99.84%
         Val Loss=0.0948, Accuracy=98.62%
         MMD Loss=0.0959, Regular Loss=0.0053
Epoch 20: Train Loss=0.0045, Accuracy=99.86%
         Val Loss=0.0910, Accuracy=98.53%
         MMD Loss=0.0955, Regular Loss=0.0045
Training completed.
Model for train domain AwsCont to test domain AwsCont saved to exps/CNN_mmd2_1e-6/AwsCont_to_AwsCont/weights/model_final_AwsCont_to_AwsCont.pth
Running MMD experiment for train domain: AwsCont and test domain: BenContainer
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_BenContainer_256.pkl
Epoch 1: Train Loss=0.2370, Accuracy=92.63%
         Val Loss=1.0469, Accuracy=72.89%
         MMD Loss=0.0937, Regular Loss=0.2368
Epoch 2: Train Loss=0.0579, Accuracy=98.29%
         Val Loss=1.0740, Accuracy=73.64%
         MMD Loss=0.0945, Regular Loss=0.0579
Epoch 3: Train Loss=0.0311, Accuracy=98.96%
         Val Loss=0.8788, Accuracy=78.58%
         MMD Loss=0.0954, Regular Loss=0.0311
Epoch 4: Train Loss=0.0210, Accuracy=99.33%
         Val Loss=1.7669, Accuracy=71.72%
         MMD Loss=0.0959, Regular Loss=0.0212
Epoch 5: Train Loss=0.0201, Accuracy=99.33%
         Val Loss=1.8034, Accuracy=76.82%
         MMD Loss=0.0958, Regular Loss=0.0201
Epoch 6: Train Loss=0.0144, Accuracy=99.55%
         Val Loss=1.9083, Accuracy=74.98%
         MMD Loss=0.0962, Regular Loss=0.0144
Epoch 7: Train Loss=0.0086, Accuracy=99.73%
         Val Loss=1.7044, Accuracy=75.48%
         MMD Loss=0.0963, Regular Loss=0.0086
Epoch 8: Train Loss=0.0123, Accuracy=99.66%
         Val Loss=2.1188, Accuracy=65.86%
         MMD Loss=0.0961, Regular Loss=0.0123
Epoch 9: Train Loss=0.0090, Accuracy=99.75%
         Val Loss=1.3695, Accuracy=78.24%
         MMD Loss=0.0961, Regular Loss=0.0090
Epoch 10: Train Loss=0.0118, Accuracy=99.68%
         Val Loss=2.2682, Accuracy=69.37%
         MMD Loss=0.0959, Regular Loss=0.0118
Epoch 11: Train Loss=0.0080, Accuracy=99.70%
         Val Loss=1.4721, Accuracy=77.15%
         MMD Loss=0.0958, Regular Loss=0.0080
Epoch 12: Train Loss=0.0085, Accuracy=99.73%
         Val Loss=2.0072, Accuracy=75.56%
         MMD Loss=0.0965, Regular Loss=0.0085
Epoch 13: Train Loss=0.0037, Accuracy=99.85%
         Val Loss=2.1072, Accuracy=75.82%
         MMD Loss=0.0965, Regular Loss=0.0037
Epoch 14: Train Loss=0.0084, Accuracy=99.73%
         Val Loss=2.5083, Accuracy=77.74%
         MMD Loss=0.0968, Regular Loss=0.0084
Epoch 15: Train Loss=0.0043, Accuracy=99.86%
         Val Loss=2.0419, Accuracy=75.65%
         MMD Loss=0.0970, Regular Loss=0.0043
Epoch 16: Train Loss=0.0042, Accuracy=99.88%
         Val Loss=3.2543, Accuracy=71.72%
         MMD Loss=0.0968, Regular Loss=0.0042
Epoch 17: Train Loss=0.0043, Accuracy=99.86%
         Val Loss=2.5747, Accuracy=78.58%
         MMD Loss=0.0968, Regular Loss=0.0043
Epoch 18: Train Loss=0.0058, Accuracy=99.86%
         Val Loss=2.8194, Accuracy=78.66%
         MMD Loss=0.0958, Regular Loss=0.0058
Epoch 19: Train Loss=0.0046, Accuracy=99.89%
         Val Loss=2.6406, Accuracy=75.23%
         MMD Loss=0.0962, Regular Loss=0.0046
Epoch 20: Train Loss=0.0059, Accuracy=99.78%
         Val Loss=2.4827, Accuracy=72.05%
         MMD Loss=0.0963, Regular Loss=0.0059
Training completed.
Model for train domain AwsCont to test domain BenContainer saved to exps/CNN_mmd2_1e-6/AwsCont_to_BenContainer/weights/model_final_AwsCont_to_BenContainer.pth
Running MMD experiment for train domain: AwsCont and test domain: CabSpicy1
Loading cached dataset from: data/ben_bucket/cached_datasets/datasets_AwsCont_256.pkl
